algo,env,dataset,env_d4rl_name,guidance_scale,target_return,stage,n_seeds,minari_score_mean,minari_score_std,raw_return_mean,raw_return_std,d4rl_equiv_mean,d4rl_equiv_std,paper_d4rl_score,paper_source,delta_d4rl_equiv_minus_paper,notes
qgpo,halfcheetah,medium,halfcheetah-medium-v0,10.0,,critic,3,-6155970.584,4621863.125,-999909655.081,750725738.523,-8053926.397,6046837.837,54.1,"QGPO paper, Lu et al. 2023, Table 1",-8053980.497,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,0.0,,critic,3,-442759.293,445514.759,-71917057.819,72364626.071,-579264.93,582872.195,93.5,"QGPO paper, Lu et al. 2023, Table 1",-579358.43,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,1.0,,critic,3,-16882065.28,23713057.597,-2742141120.076,3851694045.683,-22087002.131,31024071.906,93.5,"QGPO paper, Lu et al. 2023, Table 1",-22087095.631,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,2.0,,critic,3,-6945928.811,9609364.785,-1128221973.638,1560841868.464,-9087438.028,12572044.868,93.5,"QGPO paper, Lu et al. 2023, Table 1",-9087531.528,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,3.0,,critic,3,-159592396.52,225384548.538,-25922472498.642,36609042087.732,-208796605.483,294873253.348,93.5,"QGPO paper, Lu et al. 2023, Table 1",-208796698.983,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,5.0,,critic,3,-844052.652,869500.093,-137098835.198,141232243.707,-1104281.747,1137577.189,93.5,"QGPO paper, Lu et al. 2023, Table 1",-1104375.247,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,8.0,,critic,3,-1319524.163,1188848.823,-214329313.726,193103816.897,-1726346.711,1555384.885,93.5,"QGPO paper, Lu et al. 2023, Table 1",-1726440.211,
qgpo,halfcheetah,expert,halfcheetah-expert-v0,10.0,,critic,3,-1702249.045,1382998.791,-276495027.448,224639449.682,-2227070.172,1809393.57,93.5,"QGPO paper, Lu et al. 2023, Table 1",-2227163.672,
qgpo,hopper,medium,hopper-medium-v0,0.0,,critic,3,72.301,17.598,2789.214,678.911,86.324,20.86,98.0,"QGPO paper, Lu et al. 2023, Table 1",-11.676,
qgpo,hopper,medium,hopper-medium-v0,1.0,,critic,3,67.537,16.692,2605.446,643.932,80.678,19.785,98.0,"QGPO paper, Lu et al. 2023, Table 1",-17.322,
qgpo,hopper,medium,hopper-medium-v0,2.0,,critic,3,64.746,12.61,2497.778,486.484,77.37,14.948,98.0,"QGPO paper, Lu et al. 2023, Table 1",-20.63,
qgpo,hopper,medium,hopper-medium-v0,3.0,,critic,3,65.708,16.584,2534.88,639.762,78.51,19.657,98.0,"QGPO paper, Lu et al. 2023, Table 1",-19.49,
qgpo,hopper,medium,hopper-medium-v0,5.0,,critic,3,54.766,8.812,2112.764,339.955,65.54,10.445,98.0,"QGPO paper, Lu et al. 2023, Table 1",-32.46,
qgpo,hopper,medium,hopper-medium-v0,8.0,,critic,3,44.05,2.448,1699.353,94.44,52.837,2.902,98.0,"QGPO paper, Lu et al. 2023, Table 1",-45.163,
